User_ID,Influencer_Name,Week,Clicked,Visited_Landing,Downloaded_Offer,Purchased,Cart_Value_USD,Campaign_Name,Platform,Followers,Tier,Engagement_Rate,Cost,Conversions,ROI,Revenue,Impressions,Clicks,Fake_Follower_%,Brand_Safety_Rating,Safety_Bucket,Content_Match_Score,Posting_Frequency,Story_View_Rate_%,Would_Rehire,Sentiment_Score,AdCred_Score
U0001,Influencer_238,1,1,0,0,0,0.00,Campaign_17,TikTok,389274,Macro,5.47,4340.99,112.00,1.48,6424.67,424054,19431,7.02,4,High,0.81,60,23.17,1,0.18,0.56
U0001,Influencer_238,2,1,0,0,0,0.00,Campaign_17,TikTok,389274,Macro,5.47,4340.99,112.00,1.48,6424.67,424054,19431,19.22,4,High,0.81,60,23.17,1,0.18,0.56
U0001,Influencer_238,3,0,0,0,0,0.00,Campaign_17,TikTok,389274,Macro,2.07,4340.99,89.00,1.48,6424.67,424054,19431,7.02,4,High,0.81,60,23.17,1,0.18,0.56
U0002,Influencer_60,1,1,0,0,0,0.00,Campaign_12,YouTube,1664945,Mega,6.63,649.33,37.00,0.76,493.49,1084211,63448,26.9,1,Low,0.86,50,62.39,1,-0.34,0.47
U0002,Influencer_60,2,1,1,0,0,0.00,Campaign_12,YouTube,1664945,Mega,6.63,649.33,37.00,0.76,493.49,1084211,63448,26.9,1,Low,0.86,50,62.39,1,-0.34,0.47
U0002,Influencer_60,3,0,0,0,0,0.00,Campaign_12,YouTube,1664945,Mega,6.63,649.33,37.00,0.76,493.49,1084211,63448,26.9,1,Low,0.86,50,62.39,1,-0.34,0.47
U0003,Influencer_227,1,0,0,0,0,0.00,Campaign_3,TikTok,573149,Mega,6.04,3069.69,108.00,2.7,8288.16,533558,18193,19.22,3,Medium,0.66,44,14.81,1,0.08,0.6
U0003,Influencer_227,2,0,0,0,0,0.00,Campaign_3,TikTok,573149,Mega,6.04,3069.69,108.00,2.7,8288.16,533558,18193,19.22,3,Medium,0.66,44,14.81,1,0.08,0.6
U0003,Influencer_227,3,1,1,0,0,0.00,Campaign_3,TikTok,573149,Mega,6.04,3069.69,108.00,2.7,8288.16,533558,18193,11.83,3,Medium,0.66,44,14.81,1,0.08,0.6
U0004,Influencer_73,1,0,0,0,0,0.00,Campaign_4,Instagram,265360,Macro,3.61,1473.26,24.00,0.48,707.16,471466,40175,10.14,5,High,0.44,10,62.16,1,-0.18,0.44
U0004,Influencer_73,2,1,1,0,0,0.00,Campaign_4,Instagram,265360,Macro,3.61,1473.26,24.00,0.48,707.16,471466,40175,10.14,5,High,0.44,10,62.16,1,-0.18,0.44
U0004,Influencer_73,3,1,0,0,0,0.00,Campaign_4,Instagram,265360,Macro,3.61,1473.26,24.00,0.48,707.16,471466,40175,10.14,5,High,0.44,10,62.16,1,-0.18,0.44
U0005,Influencer_268,1,1,0,0,0,0.00,Campaign_13,TikTok,113671,Mid-Tier,4.28,4008.96,111.00,3.2,12828.67,175724,2262,20.91,3,Medium,0.51,31,21.63,1,0.4,0.56
U0005,Influencer_268,2,1,1,1,0,0.00,Campaign_13,TikTok,113671,Mid-Tier,4.28,4008.96,111.00,3.2,12828.67,175724,2262,20.91,3,Medium,0.51,31,21.63,1,0.4,0.56
U0005,Influencer_268,3,0,0,0,0,0.00,Campaign_13,TikTok,113671,Mid-Tier,5.47,4008.96,111.00,3.2,12828.67,175724,2262,20.91,3,Medium,0.51,31,21.63,1,0.4,0.56
U0006,Influencer_30,1,1,1,0,0,0.00,Campaign_12,YouTube,517050,Mega,8.82,921.67,199.00,3.83,3530,958465,59717,7.31,3,Medium,0.57,11,34.39,1,0.43,0.8
U0006,Influencer_30,2,1,0,0,0,0.00,Campaign_12,YouTube,517050,Mega,8.82,921.67,199.00,3.83,3530,958465,59717,7.31,3,Medium,0.57,11,34.39,1,0.43,0.8
U0006,Influencer_30,3,1,1,0,0,0.00,Campaign_12,YouTube,517050,Mega,4.70,921.67,199.00,3.83,3530,958465,59717,7.31,3,Medium,0.57,11,34.39,1,0.43,0.8
U0007,Influencer_191,1,1,0,0,0,0.00,Campaign_9,TikTok,1207144,Mega,1.99,2087.19,61.00,0.96,2003.7,973428,19310,37.74,4,High,0.56,46,64.81,1,-0.35,0.37
U0007,Influencer_191,2,0,0,0,0,0.00,Campaign_9,TikTok,1207144,Mega,1.99,2087.19,61.00,0.96,2003.7,973428,19310,37.74,4,High,0.56,46,64.81,1,-0.35,0.37
U0007,Influencer_191,3,0,0,0,0,0.00,Campaign_9,TikTok,1207144,Mega,1.99,2087.19,61.00,0.96,2003.7,973428,19310,37.74,4,High,0.56,46,64.81,1,-0.35,0.37
